
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E76  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E77  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E78  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E79  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E80  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E81  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E82  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E83  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E84  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E85  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E86  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E87  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E88  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E89  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E90  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E91  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S03E92  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E15  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E16  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E17  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E18  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E19  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E20  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E21  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E22  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E23  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E24  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E25  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E26  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E27  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E28  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Novelas Turcas] A Promessa (2019) S04E29  | (1ª vez: 20/01/2026 17:32)
